CustomerID,Age,ZIP Code,Family,Experience,AccountID,Income,AlreadyOwn,5Seater,LeasedCar
1,27,91975,4,1,1001,49,1,1,0
2,24,91051,3,19,1002,34,1,1,1
5,20,91330,4,8,1003,45,1,0,0
6,30,91330,4,13,1004,29,0,0,0
7,21,91711,2,27,1005,72,1,1,0
8,40,93943,1,24,1006,22,0,0,0
9,22,90089,3,10,1007,81,1,0,0
10,23,93023,1,9,1008,180,0,0,0
12,28,90277,3,5,1009,45,0,1,0
13,35,93106,2,23,1010,114,1,0,0
14,35,94920,4,32,1011,40,1,0,0
15,20,91741,1,41,1012,112,1,1,0
16,40,95054,1,30,1013,22,0,1,0
16,23,95054,1,30,1014,22,0,0,1
17,21,95010,4,14,1015,130,0,1,0
19,34,91604,2,21,1016,193,1,1,0
20,33,94720,1,28,1017,21,0,0,0
20,29,94720,1,28,1018,21,1,0,0
21,29,94015,4,31,1019,25,0,1,0
22,28,90095,3,27,1020,63,0,1,0
23,31,90277,1,5,1021,62,0,1,0
24,19,91320,2,18,1022,43,0,1,0
25,22,95521,2,11,1023,152,0,0,0
26,26,94305,3,19,1024,29,1,0,0
28,28,90064,1,20,1025,158,1,1,1
28,21,90064,1,20,1026,158,0,1,0
29,37,94539,1,30,1027,48,0,1,0
29,31,94539,1,30,1028,48,0,1,0
30,29,94104,1,13,1029,119,0,1,0
30,37,94104,1,13,1030,119,0,1,0
30,29,94104,1,13,1031,119,1,0,0
30,23,94104,1,13,1032,119,1,1,1
31,36,93106,1,35,1033,35,1,1,0
32,28,94117,1,16,1034,29,0,1,0
35,33,94035,4,5,1035,50,1,1,1
37,29,94720,1,35,1036,121,1,0,1
39,32,94114,3,18,1037,141,1,1,1
39,35,94114,3,18,1038,141,1,1,1
39,39,94114,3,18,1039,141,0,1,0
39,37,94114,3,18,1040,141,1,0,0
40,34,94115,4,13,1041,80,0,1,0
41,38,92672,3,32,1042,84,1,1,1
43,22,90019,4,7,1043,132,1,1,1
43,21,90019,4,7,1044,132,0,0,0
44,36,95616,1,15,1045,45,1,0,1
45,35,94065,1,20,1046,104,0,1,1
45,31,94065,1,20,1047,104,1,1,0
46,31,94720,4,31,1048,52,0,1,0
47,19,95014,3,14,1049,43,0,1,0
48,26,91380,4,12,1050,194,0,1,0
48,32,91380,4,12,1051,194,1,0,0
48,22,91380,4,12,1052,194,0,1,0
48,38,91380,4,12,1053,194,0,1,0
48,35,91380,4,12,1054,194,0,0,0
49,37,95747,2,26,1055,81,0,1,0
50,27,92373,1,16,1056,49,0,1,0
51,32,92093,4,8,1057,8,0,0,0
51,31,92093,4,8,1058,8,1,0,0
52,26,94720,1,37,1059,131,1,0,1
54,38,90245,3,26,1060,190,0,0,0
54,30,90245,3,26,1061,190,0,0,0
55,29,95819,1,5,1062,44,1,1,1
56,24,94022,2,17,1063,139,0,1,0
57,26,94005,3,30,1064,29,0,1,0
57,28,94005,3,30,1065,29,0,1,0
57,29,94005,3,30,1066,29,0,0,0
58,33,95616,2,31,1067,131,0,1,0
61,34,90404,3,24,1068,39,0,1,0
61,30,90404,3,24,1069,39,0,0,0
62,20,93407,1,21,1070,125,0,1,0
64,27,94523,4,17,1071,32,0,0,0
66,37,91360,1,35,1072,131,0,1,0
66,40,91360,1,35,1073,131,0,0,0
68,37,95123,4,23,1074,45,0,1,0
69,40,93407,3,21,1075,60,0,1,0
69,34,93407,3,21,1076,60,0,0,0
70,36,90045,4,29,1077,20,0,1,0
71,39,91335,1,18,1078,115,0,1,0
72,40,93907,4,29,1079,69,0,0,0
73,34,92007,1,20,1080,130,0,0,0
74,40,94606,1,16,1081,85,0,0,0
74,40,94606,1,16,1082,85,0,0,0
75,32,94611,2,3,1083,135,0,1,0
76,22,94901,4,7,1084,135,0,0,0
76,35,94901,4,7,1085,135,0,1,0
76,22,94901,4,7,1086,135,0,1,0
76,19,94901,4,7,1087,135,0,1,0
79,29,93305,2,30,1088,133,0,0,0
80,38,94720,2,26,1089,19,1,0,0
81,28,95134,4,36,1090,41,1,0,1
81,30,95134,4,36,1091,41,1,1,0
82,36,94612,3,22,1092,40,0,1,0
83,37,92507,1,16,1093,82,1,1,0
85,38,91730,1,22,1094,18,0,0,0
88,22,94305,3,22,1095,78,1,0,0
89,38,94117,2,41,1096,51,0,1,0
90,25,94303,4,-1,1097,113,1,0,0
91,39,90277,4,30,1098,118,1,1,1
91,24,90277,4,30,1099,118,1,1,0
92,31,94105,4,10,1100,29,1,1,0
94,29,94550,2,34,1101,64,1,0,0
94,37,94550,2,34,1102,64,0,0,0
96,38,95617,4,12,1103,48,0,0,0
98,32,92121,1,28,1104,161,0,0,0
99,31,92374,1,23,1105,94,1,0,1
100,36,91711,3,41,1106,15,0,1,0
101,19,94080,1,23,1107,74,1,1,0
103,33,93555,3,23,1108,44,0,0,0
103,36,93555,3,23,1109,44,0,0,0
104,23,95670,2,18,1110,22,1,1,0
105,27,93311,4,32,1111,38,0,0,0
105,38,93311,4,32,1112,38,0,1,0
106,27,94704,3,0,1113,35,1,1,0
106,35,94704,3,0,1114,35,0,1,0
107,31,92717,4,17,1115,69,1,0,1
107,19,92717,4,17,1116,69,0,1,0
109,21,95136,1,7,1117,32,1,1,0
110,28,94542,1,17,1118,49,1,1,0
112,37,94143,4,38,1119,45,1,1,0
